  0%|                                                                          | 0/93765 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
C:\Users\dahun\Financial-LLM-Optimization\.venv\lib\site-packages\bitsandbytes\autograd\_functions.py:185: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
                                                                                                         
{'loss': 0.768, 'grad_norm': 1.8348621129989624, 'learning_rate': 7.996160614301713e-06, 'epoch': 9.01}
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")      
{'eval_loss': 1.214107632637024, 'eval_runtime': 8508.9511, 'eval_samples_per_second': 0.104, 'eval_steps_per_second': 0.013, 'epoch': 10.0}
                                                                                                         
{'loss': 0.6875, 'grad_norm': 3.200901508331299, 'learning_rate': 6.652802218311737e-06, 'epoch': 10.01}
{'loss': 0.7304, 'grad_norm': 2.1658852100372314, 'learning_rate': 6.631472297765691e-06, 'epoch': 10.03}
{'loss': 0.6695, 'grad_norm': 2.1035258769989014, 'learning_rate': 6.610142377219645e-06, 'epoch': 10.05}
{'loss': 0.656, 'grad_norm': 1.9604785442352295, 'learning_rate': 6.5888124566735985e-06, 'epoch': 10.06}
{'loss': 0.7293, 'grad_norm': 3.70469331741333, 'learning_rate': 6.5674825361275526e-06, 'epoch': 10.08}
{'loss': 0.6786, 'grad_norm': 2.6071743965148926, 'learning_rate': 6.546152615581507e-06, 'epoch': 10.09}
{'loss': 0.7153, 'grad_norm': 2.613830804824829, 'learning_rate': 6.524822695035462e-06, 'epoch': 10.11}
{'loss': 0.7585, 'grad_norm': 9.173803329467773, 'learning_rate': 6.503492774489416e-06, 'epoch': 10.13}
{'loss': 0.7075, 'grad_norm': 4.773986339569092, 'learning_rate': 6.482376153148831e-06, 'epoch': 10.14}
{'loss': 0.7094, 'grad_norm': 2.415072202682495, 'learning_rate': 6.461046232602785e-06, 'epoch': 10.16}
{'loss': 0.6531, 'grad_norm': 4.028562545776367, 'learning_rate': 6.439716312056739e-06, 'epoch': 10.17}
{'loss': 0.7239, 'grad_norm': 3.5133471488952637, 'learning_rate': 6.418386391510693e-06, 'epoch': 10.19}
{'loss': 0.7161, 'grad_norm': 6.605961799621582, 'learning_rate': 6.397056470964647e-06, 'epoch': 10.21}
{'loss': 0.6961, 'grad_norm': 3.0999650955200195, 'learning_rate': 6.375726550418601e-06, 'epoch': 10.22}
{'loss': 0.7074, 'grad_norm': 2.376356601715088, 'learning_rate': 6.354396629872555e-06, 'epoch': 10.24}
{'loss': 0.6379, 'grad_norm': 3.449124574661255, 'learning_rate': 6.333280008531969e-06, 'epoch': 10.25}
{'loss': 0.6799, 'grad_norm': 3.2529854774475098, 'learning_rate': 6.311950087985923e-06, 'epoch': 10.27}
{'loss': 0.7171, 'grad_norm': 3.1176459789276123, 'learning_rate': 6.290620167439877e-06, 'epoch': 10.29}
{'loss': 0.6828, 'grad_norm': 1.70012629032135, 'learning_rate': 6.269290246893831e-06, 'epoch': 10.3}
{'loss': 0.703, 'grad_norm': 2.2688891887664795, 'learning_rate': 6.247960326347785e-06, 'epoch': 10.32}
{'loss': 0.6942, 'grad_norm': 2.782104969024658, 'learning_rate': 6.2266304058017394e-06, 'epoch': 10.33}
{'loss': 0.6904, 'grad_norm': 3.893087148666382, 'learning_rate': 6.205300485255693e-06, 'epoch': 10.35}
{'loss': 0.7696, 'grad_norm': 2.7717318534851074, 'learning_rate': 6.183970564709647e-06, 'epoch': 10.37}
{'loss': 0.6988, 'grad_norm': 2.7169854640960693, 'learning_rate': 6.162640644163601e-06, 'epoch': 10.38}
{'loss': 0.6795, 'grad_norm': 2.5614006519317627, 'learning_rate': 6.141310723617555e-06, 'epoch': 10.4}
{'loss': 0.7578, 'grad_norm': 2.6821787357330322, 'learning_rate': 6.119980803071509e-06, 'epoch': 10.41}
{'loss': 0.71, 'grad_norm': 3.0125153064727783, 'learning_rate': 6.098650882525463e-06, 'epoch': 10.43}
{'loss': 0.678, 'grad_norm': 2.2340846061706543, 'learning_rate': 6.077320961979417e-06, 'epoch': 10.45}
{'loss': 0.7168, 'grad_norm': 0.9369842410087585, 'learning_rate': 6.055991041433371e-06, 'epoch': 10.46}
{'loss': 0.7046, 'grad_norm': 3.0913970470428467, 'learning_rate': 6.034661120887325e-06, 'epoch': 10.48}
{'loss': 0.7467, 'grad_norm': 2.5226941108703613, 'learning_rate': 6.013331200341279e-06, 'epoch': 10.49}
{'loss': 0.7302, 'grad_norm': 3.6480374336242676, 'learning_rate': 5.992001279795233e-06, 'epoch': 10.51}
{'loss': 0.7855, 'grad_norm': 3.1423208713531494, 'learning_rate': 5.970671359249187e-06, 'epoch': 10.53}
{'loss': 0.6718, 'grad_norm': 2.975548028945923, 'learning_rate': 5.949341438703141e-06, 'epoch': 10.54}
{'loss': 0.6814, 'grad_norm': 3.2956302165985107, 'learning_rate': 5.928011518157095e-06, 'epoch': 10.56}
{'loss': 0.6734, 'grad_norm': 3.0141162872314453, 'learning_rate': 5.906681597611049e-06, 'epoch': 10.57}
{'loss': 0.7491, 'grad_norm': 2.027935028076172, 'learning_rate': 5.885351677065003e-06, 'epoch': 10.59}
{'loss': 0.6572, 'grad_norm': 3.2164559364318848, 'learning_rate': 5.8640217565189574e-06, 'epoch': 10.61}
{'loss': 0.6286, 'grad_norm': 2.645550012588501, 'learning_rate': 5.8426918359729115e-06, 'epoch': 10.62}
{'loss': 0.7275, 'grad_norm': 2.8936474323272705, 'learning_rate': 5.8213619154268655e-06, 'epoch': 10.64}
{'loss': 0.7541, 'grad_norm': 5.2220563888549805, 'learning_rate': 5.8000319948808196e-06, 'epoch': 10.65}
{'loss': 0.6635, 'grad_norm': 3.102922201156616, 'learning_rate': 5.778702074334774e-06, 'epoch': 10.67}
{'loss': 0.7554, 'grad_norm': 3.320895195007324, 'learning_rate': 5.757372153788728e-06, 'epoch': 10.69}
{'loss': 0.7533, 'grad_norm': 1.922441005706787, 'learning_rate': 5.736042233242681e-06, 'epoch': 10.7}
{'loss': 0.7019, 'grad_norm': 2.423427104949951, 'learning_rate': 5.714712312696635e-06, 'epoch': 10.72}
{'loss': 0.6686, 'grad_norm': 3.571333408355713, 'learning_rate': 5.693382392150589e-06, 'epoch': 10.73}
{'loss': 0.7249, 'grad_norm': 3.2657787799835205, 'learning_rate': 5.672052471604543e-06, 'epoch': 10.75}
{'loss': 0.6972, 'grad_norm': 4.266264915466309, 'learning_rate': 5.650722551058497e-06, 'epoch': 10.77}
{'loss': 0.7439, 'grad_norm': 2.755371570587158, 'learning_rate': 5.629392630512451e-06, 'epoch': 10.78}
{'loss': 0.6742, 'grad_norm': 3.360180377960205, 'learning_rate': 5.608062709966405e-06, 'epoch': 10.8}
{'loss': 0.6757, 'grad_norm': 2.748354434967041, 'learning_rate': 5.586732789420359e-06, 'epoch': 10.81}
{'loss': 0.7059, 'grad_norm': 4.64581298828125, 'learning_rate': 5.565402868874313e-06, 'epoch': 10.83}
{'loss': 0.7651, 'grad_norm': 3.895094633102417, 'learning_rate': 5.544072948328268e-06, 'epoch': 10.85}
{'loss': 0.737, 'grad_norm': 1.5856977701187134, 'learning_rate': 5.522743027782222e-06, 'epoch': 10.86}
{'loss': 0.7593, 'grad_norm': 3.3720433712005615, 'learning_rate': 5.501413107236176e-06, 'epoch': 10.88}
{'loss': 0.652, 'grad_norm': 2.3823792934417725, 'learning_rate': 5.48008318669013e-06, 'epoch': 10.89}
{'loss': 0.7259, 'grad_norm': 2.865705966949463, 'learning_rate': 5.458753266144084e-06, 'epoch': 10.91}
{'loss': 0.6875, 'grad_norm': 3.5796122550964355, 'learning_rate': 5.437423345598038e-06, 'epoch': 10.93}
{'loss': 0.7031, 'grad_norm': 3.118612051010132, 'learning_rate': 5.4160934250519925e-06, 'epoch': 10.94}
{'loss': 0.6391, 'grad_norm': 3.536810874938965, 'learning_rate': 5.3947635045059465e-06, 'epoch': 10.96}
{'loss': 0.6853, 'grad_norm': 3.5227572917938232, 'learning_rate': 5.3734335839599006e-06, 'epoch': 10.97}
{'loss': 0.6854, 'grad_norm': 3.2769622802734375, 'learning_rate': 5.352103663413855e-06, 'epoch': 10.99}
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")      
{'eval_loss': 1.218885064125061, 'eval_runtime': 8504.0451, 'eval_samples_per_second': 0.104, 'eval_steps_per_second': 0.013, 'epoch': 11.0}
                                                                                                         
{'loss': 0.727, 'grad_norm': 2.8418736457824707, 'learning_rate': 5.330773742867809e-06, 'epoch': 11.01}
{'loss': 0.6572, 'grad_norm': 2.263044595718384, 'learning_rate': 5.309443822321763e-06, 'epoch': 11.02}
{'loss': 0.6383, 'grad_norm': 2.826942205429077, 'learning_rate': 5.288113901775717e-06, 'epoch': 11.04}
{'loss': 0.7336, 'grad_norm': 2.863856315612793, 'learning_rate': 5.266783981229671e-06, 'epoch': 11.05}
{'loss': 0.6495, 'grad_norm': 2.7363836765289307, 'learning_rate': 5.245454060683625e-06, 'epoch': 11.07}
{'loss': 0.6938, 'grad_norm': 4.4103312492370605, 'learning_rate': 5.224124140137579e-06, 'epoch': 11.09}
{'loss': 0.7053, 'grad_norm': 3.331214666366577, 'learning_rate': 5.202794219591533e-06, 'epoch': 11.1}
{'loss': 0.7139, 'grad_norm': 3.594839096069336, 'learning_rate': 5.181464299045487e-06, 'epoch': 11.12}
{'loss': 0.688, 'grad_norm': 2.6116251945495605, 'learning_rate': 5.160134378499441e-06, 'epoch': 11.13}
{'loss': 0.7093, 'grad_norm': 2.877967596054077, 'learning_rate': 5.138804457953394e-06, 'epoch': 11.15}
{'loss': 0.6825, 'grad_norm': 4.839593410491943, 'learning_rate': 5.117474537407348e-06, 'epoch': 11.17}
{'loss': 0.6848, 'grad_norm': 4.045218467712402, 'learning_rate': 5.096144616861302e-06, 'epoch': 11.18}
{'loss': 0.7004, 'grad_norm': 2.1825077533721924, 'learning_rate': 5.074814696315256e-06, 'epoch': 11.2}
{'loss': 0.6816, 'grad_norm': 1.7561770677566528, 'learning_rate': 5.0534847757692104e-06, 'epoch': 11.21}
{'loss': 0.7046, 'grad_norm': 3.689053535461426, 'learning_rate': 5.0321548552231645e-06, 'epoch': 11.23}
{'loss': 0.6777, 'grad_norm': 3.6314289569854736, 'learning_rate': 5.0108249346771185e-06, 'epoch': 11.25}
{'loss': 0.7246, 'grad_norm': 3.013601541519165, 'learning_rate': 4.989495014131073e-06, 'epoch': 11.26}
{'loss': 0.6941, 'grad_norm': 2.7305006980895996, 'learning_rate': 4.968165093585027e-06, 'epoch': 11.28}
{'loss': 0.6969, 'grad_norm': 3.4526255130767822, 'learning_rate': 4.946835173038981e-06, 'epoch': 11.29}
{'loss': 0.7217, 'grad_norm': 4.218608379364014, 'learning_rate': 4.925718551698395e-06, 'epoch': 11.31}
{'loss': 0.7041, 'grad_norm': 2.2041678428649902, 'learning_rate': 4.904388631152349e-06, 'epoch': 11.33}
{'loss': 0.6555, 'grad_norm': 2.828382730484009, 'learning_rate': 4.883058710606303e-06, 'epoch': 11.34}
{'loss': 0.6413, 'grad_norm': 3.4699790477752686, 'learning_rate': 4.861728790060257e-06, 'epoch': 11.36}
{'loss': 0.6628, 'grad_norm': 3.52036714553833, 'learning_rate': 4.840398869514211e-06, 'epoch': 11.37}
{'loss': 0.6425, 'grad_norm': 5.872950553894043, 'learning_rate': 4.819068948968165e-06, 'epoch': 11.39}
{'loss': 0.7104, 'grad_norm': 3.089437484741211, 'learning_rate': 4.797739028422119e-06, 'epoch': 11.41}
{'loss': 0.6361, 'grad_norm': 3.0621964931488037, 'learning_rate': 4.776409107876074e-06, 'epoch': 11.42}
{'loss': 0.7124, 'grad_norm': 3.0952494144439697, 'learning_rate': 4.755079187330028e-06, 'epoch': 11.44}
{'loss': 0.7081, 'grad_norm': 3.0291330814361572, 'learning_rate': 4.733749266783982e-06, 'epoch': 11.45}
{'loss': 0.6738, 'grad_norm': 3.595634698867798, 'learning_rate': 4.7124193462379354e-06, 'epoch': 11.47}
{'loss': 0.6708, 'grad_norm': 3.362126588821411, 'learning_rate': 4.6913027248973505e-06, 'epoch': 11.49}
{'loss': 0.7124, 'grad_norm': 2.720038652420044, 'learning_rate': 4.669972804351305e-06, 'epoch': 11.5}
{'loss': 0.6825, 'grad_norm': 2.7570807933807373, 'learning_rate': 4.648642883805259e-06, 'epoch': 11.52}
{'loss': 0.6558, 'grad_norm': 2.997640371322632, 'learning_rate': 4.627312963259213e-06, 'epoch': 11.53}
{'loss': 0.7432, 'grad_norm': 2.6899633407592773, 'learning_rate': 4.605983042713167e-06, 'epoch': 11.55}
{'loss': 0.7106, 'grad_norm': 2.9958066940307617, 'learning_rate': 4.58465312216712e-06, 'epoch': 11.57}
{'loss': 0.6981, 'grad_norm': 3.7955524921417236, 'learning_rate': 4.563323201621074e-06, 'epoch': 11.58}
{'loss': 0.6702, 'grad_norm': 4.016445636749268, 'learning_rate': 4.541993281075028e-06, 'epoch': 11.6}
{'loss': 0.6975, 'grad_norm': 3.1534407138824463, 'learning_rate': 4.520663360528982e-06, 'epoch': 11.61}
{'loss': 0.6999, 'grad_norm': 3.334784984588623, 'learning_rate': 4.499546739188397e-06, 'epoch': 11.63}
{'loss': 0.7007, 'grad_norm': 3.1355340480804443, 'learning_rate': 4.478216818642351e-06, 'epoch': 11.65}
{'loss': 0.6539, 'grad_norm': 2.37162446975708, 'learning_rate': 4.4568868980963044e-06, 'epoch': 11.66}
{'loss': 0.6956, 'grad_norm': 1.9215229749679565, 'learning_rate': 4.4355569775502585e-06, 'epoch': 11.68}
{'loss': 0.6917, 'grad_norm': 3.308243989944458, 'learning_rate': 4.4142270570042125e-06, 'epoch': 11.69}
{'loss': 0.7036, 'grad_norm': 3.848433494567871, 'learning_rate': 4.3928971364581666e-06, 'epoch': 11.71}
{'loss': 0.6069, 'grad_norm': 4.867617607116699, 'learning_rate': 4.371567215912121e-06, 'epoch': 11.73}
{'loss': 0.6559, 'grad_norm': 3.0939078330993652, 'learning_rate': 4.350237295366075e-06, 'epoch': 11.74}
{'loss': 0.704, 'grad_norm': 2.787088632583618, 'learning_rate': 4.328907374820029e-06, 'epoch': 11.76}
{'loss': 0.6524, 'grad_norm': 2.8594107627868652, 'learning_rate': 4.307577454273984e-06, 'epoch': 11.77}
{'loss': 0.6672, 'grad_norm': 3.639502763748169, 'learning_rate': 4.286247533727938e-06, 'epoch': 11.79}
{'loss': 0.6396, 'grad_norm': 3.239811897277832, 'learning_rate': 4.264917613181892e-06, 'epoch': 11.81}
{'loss': 0.6603, 'grad_norm': 3.3852458000183105, 'learning_rate': 4.243587692635846e-06, 'epoch': 11.82}
{'loss': 0.7538, 'grad_norm': 3.563359260559082, 'learning_rate': 4.2222577720898e-06, 'epoch': 11.84}
{'loss': 0.6905, 'grad_norm': 3.321112871170044, 'learning_rate': 4.200927851543754e-06, 'epoch': 11.85}
{'loss': 0.6911, 'grad_norm': 3.97739577293396, 'learning_rate': 4.179597930997708e-06, 'epoch': 11.87}
{'loss': 0.6579, 'grad_norm': 3.4281253814697266, 'learning_rate': 4.158268010451661e-06, 'epoch': 11.89}
{'loss': 0.7014, 'grad_norm': 3.1830098628997803, 'learning_rate': 4.136938089905615e-06, 'epoch': 11.9}
{'loss': 0.6539, 'grad_norm': 4.364424228668213, 'learning_rate': 4.115608169359569e-06, 'epoch': 11.92}
{'loss': 0.6912, 'grad_norm': 3.090583086013794, 'learning_rate': 4.094278248813523e-06, 'epoch': 11.93}
{'loss': 0.6064, 'grad_norm': 2.4440767765045166, 'learning_rate': 4.072948328267477e-06, 'epoch': 11.95}
{'loss': 0.7026, 'grad_norm': 3.469062089920044, 'learning_rate': 4.051618407721431e-06, 'epoch': 11.97}
{'loss': 0.6952, 'grad_norm': 3.9739151000976562, 'learning_rate': 4.030288487175385e-06, 'epoch': 11.98}
{'loss': 0.6402, 'grad_norm': 2.5524959564208984, 'learning_rate': 4.0089585666293395e-06, 'epoch': 12.0}
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")      
{'eval_loss': 1.2192548513412476, 'eval_runtime': 8804.353, 'eval_samples_per_second': 0.1, 'eval_steps_per_second': 0.013, 'epoch': 12.0}
                                                                                                         
{'loss': 0.6784, 'grad_norm': 2.8755695819854736, 'learning_rate': 3.9876286460832935e-06, 'epoch': 12.01}
{'loss': 0.6417, 'grad_norm': 4.21611213684082, 'learning_rate': 3.9662987255372476e-06, 'epoch': 12.03}
{'loss': 0.6502, 'grad_norm': 2.9805142879486084, 'learning_rate': 3.944968804991202e-06, 'epoch': 12.05}
{'loss': 0.6582, 'grad_norm': 3.315995216369629, 'learning_rate': 3.923638884445156e-06, 'epoch': 12.06}
{'loss': 0.6846, 'grad_norm': 4.077731132507324, 'learning_rate': 3.90230896389911e-06, 'epoch': 12.08}
{'loss': 0.6935, 'grad_norm': 3.5484282970428467, 'learning_rate': 3.880979043353064e-06, 'epoch': 12.09}
{'loss': 0.6698, 'grad_norm': 4.515084743499756, 'learning_rate': 3.859649122807018e-06, 'epoch': 12.11}
{'loss': 0.6082, 'grad_norm': 3.473076105117798, 'learning_rate': 3.838319202260972e-06, 'epoch': 12.13}
{'loss': 0.7057, 'grad_norm': 3.0797901153564453, 'learning_rate': 3.816989281714926e-06, 'epoch': 12.14}
{'loss': 0.6768, 'grad_norm': 3.423264503479004, 'learning_rate': 3.7956593611688804e-06, 'epoch': 12.16}
{'loss': 0.6996, 'grad_norm': 2.462800979614258, 'learning_rate': 3.7743294406228344e-06, 'epoch': 12.17}
{'loss': 0.6734, 'grad_norm': 3.188786029815674, 'learning_rate': 3.752999520076788e-06, 'epoch': 12.19}
{'loss': 0.6278, 'grad_norm': 2.604593515396118, 'learning_rate': 3.731669599530742e-06, 'epoch': 12.21}
{'loss': 0.5989, 'grad_norm': 3.3845980167388916, 'learning_rate': 3.710339678984696e-06, 'epoch': 12.22}
{'loss': 0.7559, 'grad_norm': 2.919994592666626, 'learning_rate': 3.68900975843865e-06, 'epoch': 12.24}
{'loss': 0.6755, 'grad_norm': 3.417617082595825, 'learning_rate': 3.6676798378926042e-06, 'epoch': 12.25}
{'loss': 0.7365, 'grad_norm': 3.2436320781707764, 'learning_rate': 3.6463499173465583e-06, 'epoch': 12.27}
{'loss': 0.6776, 'grad_norm': 3.032817840576172, 'learning_rate': 3.6250199968005123e-06, 'epoch': 12.29}
{'loss': 0.6873, 'grad_norm': 2.270043134689331, 'learning_rate': 3.6036900762544664e-06, 'epoch': 12.3}
{'loss': 0.6689, 'grad_norm': 3.0354790687561035, 'learning_rate': 3.5823601557084204e-06, 'epoch': 12.32}
{'loss': 0.634, 'grad_norm': 2.6120073795318604, 'learning_rate': 3.5610302351623745e-06, 'epoch': 12.33}
{'loss': 0.7065, 'grad_norm': 2.811404228210449, 'learning_rate': 3.5397003146163285e-06, 'epoch': 12.35}
{'loss': 0.7184, 'grad_norm': 2.9042210578918457, 'learning_rate': 3.518370394070282e-06, 'epoch': 12.37}
{'loss': 0.7304, 'grad_norm': 3.973670482635498, 'learning_rate': 3.497040473524236e-06, 'epoch': 12.38}
{'loss': 0.6126, 'grad_norm': 3.0883281230926514, 'learning_rate': 3.4757105529781903e-06, 'epoch': 12.4}
{'loss': 0.69, 'grad_norm': 3.1116607189178467, 'learning_rate': 3.4543806324321443e-06, 'epoch': 12.41}
{'loss': 0.6605, 'grad_norm': 3.108955144882202, 'learning_rate': 3.4330507118860984e-06, 'epoch': 12.43}
{'loss': 0.6599, 'grad_norm': 3.257810354232788, 'learning_rate': 3.4117207913400524e-06, 'epoch': 12.45}
